EventType,Time,AccountId,X,Y,IsGame
LogPlayerLogin,1538167013577,account.0840cd632c2344dd8797b47448c54810,0.0,0.0,0.0
LogPlayerCreate,1538167013606,account.0840cd632c2344dd8797b47448c54810,82991.766,732706.94,0.0
LogPlayerLogin,1538167013689,account.a418112c51d34450b189f9ca779953cb,0.0,0.0,0.0
LogPlayerCreate,1538167013708,account.a418112c51d34450b189f9ca779953cb,490301.03,633926.75,0.0
LogPlayerLogin,1538167013709,account.69bcbb0ff4c64c98800dbe499bf2b1ec,0.0,0.0,0.0
LogPlayerCreate,1538167013742,account.69bcbb0ff4c64c98800dbe499bf2b1ec,490628.2,633613.7,0.0
LogPlayerLogin,1538167013743,account.6c19cc4a57124ec3a516e66260b2fd66,0.0,0.0,0.0
LogPlayerCreate,1538167013763,account.6c19cc4a57124ec3a516e66260b2fd66,790309.0,342058.44,0.0
LogPlayerLogin,1538167013772,account.419060edb97d4a9583b79d92766c57be,0.0,0.0,0.0
LogPlayerCreate,1538167013796,account.419060edb97d4a9583b79d92766c57be,790953.9,341618.3,0.0
LogPlayerLogin,1538167013797,account.be41d13162134b1693ec0c23f9da9613,0.0,0.0,0.0
LogPlayerCreate,1538167013813,account.be41d13162134b1693ec0c23f9da9613,790700.7,341346.56,0.0
LogPlayerLogin,1538167013821,account.506a4eeb4ff1417e85c0d08f1341e4b3,0.0,0.0,0.0
LogPlayerCreate,1538167013835,account.506a4eeb4ff1417e85c0d08f1341e4b3,489929.75,633021.44,0.0
LogPlayerLogin,1538167013955,account.824598622caf42919708c2cfca52dd47,0.0,0.0,0.0
LogPlayerCreate,1538167013979,account.824598622caf42919708c2cfca52dd47,790851.4,341306.97,0.0
LogPlayerLogin,1538167013980,account.f95a0a438f96409f91d4d8926fce3e8a,0.0,0.0,0.0
LogPlayerCreate,1538167014001,account.f95a0a438f96409f91d4d8926fce3e8a,790433.3,341702.78,0.0
LogPlayerLogin,1538167014003,account.8f30456d318d403b91a1ec5d2ea38af9,0.0,0.0,0.0
LogPlayerCreate,1538167014026,account.8f30456d318d403b91a1ec5d2ea38af9,489928.4,633708.75,0.0
LogPlayerLogin,1538167014027,account.94f78b2eacbc4d009fba8c49d2c929ae,0.0,0.0,0.0
LogPlayerCreate,1538167014044,account.94f78b2eacbc4d009fba8c49d2c929ae,83092.234,730534.0,0.0
LogPlayerLogin,1538167014051,account.7cb3982256fc4c6ba9f758ae22cc6b9c,0.0,0.0,0.0
LogPlayerCreate,1538167014073,account.7cb3982256fc4c6ba9f758ae22cc6b9c,790445.5,341505.4,0.0
LogPlayerLogin,1538167014073,account.3a89e13dfda54bcb895726595a07ca03,0.0,0.0,0.0
LogPlayerCreate,1538167014092,account.3a89e13dfda54bcb895726595a07ca03,83702.234,733226.8,0.0
LogPlayerLogin,1538167014093,account.2c0efbc50b5c4d6890345f7af6619a98,0.0,0.0,0.0
LogPlayerCreate,1538167014112,account.2c0efbc50b5c4d6890345f7af6619a98,490585.47,633988.3,0.0
LogPlayerLogin,1538167014114,account.3ddc2017cb1b480a9e5e3df07f9818ee,0.0,0.0,0.0
LogPlayerCreate,1538167014130,account.3ddc2017cb1b480a9e5e3df07f9818ee,791170.7,340666.94,0.0
LogPlayerLogin,1538167014131,account.c53654f414d6432ba2680e118eae6ccd,0.0,0.0,0.0
LogPlayerCreate,1538167014148,account.c53654f414d6432ba2680e118eae6ccd,81614.89,732079.56,0.0
LogPlayerLogin,1538167014149,account.3ca8555dfb5841e395d59fb8c08719c4,0.0,0.0,0.0
LogPlayerCreate,1538167014174,account.3ca8555dfb5841e395d59fb8c08719c4,789682.2,341449.0,0.0
LogPlayerLogin,1538167014175,account.5fe330091cc24fefb6d66163992e26c4,0.0,0.0,0.0
LogPlayerCreate,1538167014195,account.5fe330091cc24fefb6d66163992e26c4,81805.33,731988.6,0.0
LogPlayerLogin,1538167014196,account.16a6d4d31378404fbfe6f9d243dd76f3,0.0,0.0,0.0
LogPlayerCreate,1538167014217,account.16a6d4d31378404fbfe6f9d243dd76f3,490904.03,633723.25,0.0
LogPlayerLogin,1538167014218,account.9659e3fef0ee43369b080e632fd8e156,0.0,0.0,0.0
LogPlayerCreate,1538167014236,account.9659e3fef0ee43369b080e632fd8e156,790232.9,341439.1,0.0
LogPlayerLogin,1538167014237,account.06b961b64b60474f9ae43dc168a0e669,0.0,0.0,0.0
LogPlayerCreate,1538167014248,account.06b961b64b60474f9ae43dc168a0e669,789830.94,341094.97,0.0
LogPlayerLogin,1538167014248,account.a640ce3e8fec4cd6b9920a34b274ebe3,0.0,0.0,0.0
LogPlayerCreate,1538167014276,account.a640ce3e8fec4cd6b9920a34b274ebe3,790399.0,341324.66,0.0
LogPlayerLogin,1538167014276,account.4740215882574372b5c46c60f1fdfb6d,0.0,0.0,0.0
LogPlayerCreate,1538167014299,account.4740215882574372b5c46c60f1fdfb6d,490272.47,633744.75,0.0
LogPlayerLogin,1538167014299,account.58bae4eac7344212bdae3c03f6688908,0.0,0.0,0.0
LogPlayerCreate,1538167014319,account.58bae4eac7344212bdae3c03f6688908,489976.62,633774.5,0.0
LogPlayerLogin,1538167014321,account.b7a12bf8f452474c8e47d4add686f20a,0.0,0.0,0.0
LogPlayerCreate,1538167014335,account.b7a12bf8f452474c8e47d4add686f20a,490551.9,633518.0,0.0
LogPlayerLogin,1538167014434,account.c2b7983759914ea9bafb440735bc8102,0.0,0.0,0.0
LogPlayerCreate,1538167014454,account.c2b7983759914ea9bafb440735bc8102,82208.54,731477.5,0.0
LogPlayerLogin,1538167014456,account.62624a34db2f4d7993c2da613193697a,0.0,0.0,0.0
LogPlayerCreate,1538167014473,account.62624a34db2f4d7993c2da613193697a,82289.47,729780.94,0.0
LogPlayerLogin,1538167014475,account.b52b3740bcc44aa8abd6208c1d4adfc6,0.0,0.0,0.0
